,link,video_link,title,time,date,video_id,views,likes,comments,shares
33,https://www.1tv.am/hy/video/Հարցազրույց-Գառնիկ-Դանիելյանի-հետ/233590,https://www.youtube.com/embed/kwPt9TXlRgk?autoplay=1&autohide=1,Հարցազրույց Գառնիկ Դանիելյանի հետ,22:10,"07 Մայ, 2025",kwPt9TXlRgk,49654,253,0,N/A
34,https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Նահապետյանի-հետ/233462,https://www.youtube.com/embed/6LnkR5jb46k?autoplay=1&autohide=1,Հարցազրույց Արթուր Նահապետյանի հետ,22:10,"06 Մայ, 2025",6LnkR5jb46k,12936,121,0,N/A
35,https://www.1tv.am/hy/video/Հարցազրույց-Համո-Սուքիասյանի-հետ/233408,https://www.youtube.com/embed/rR4w1tKb1M0?autoplay=1&autohide=1,Հարցազրույց Համո Սուքիասյանի հետ,22:10,"05 Մայ, 2025",rR4w1tKb1M0,20309,151,0,N/A
36,https://www.1tv.am/hy/video/Հարցազրույց-Իվան-Տիմոֆեևի-հետ/233314,https://www.youtube.com/embed/i13ZLwYoLnE?autoplay=1&autohide=1,Հարցազրույց Իվան Տիմոֆեևի հետ,22:10,"02 Մայ, 2025",i13ZLwYoLnE,30441,214,0,N/A
37,https://www.1tv.am/hy/video/Հարցազրույց-Գեղամ-Նազարյանի-հետ/233243,https://www.youtube.com/embed/wZPqzqnfylg?autoplay=1&autohide=1,Հարցազրույց Գեղամ Նազարյանի հետ,22:10,"01 Մայ, 2025",wZPqzqnfylg,51835,955,0,N/A
38,https://www.1tv.am/hy/video/Հարցազրույց-Տարոն-Չախոյանի-հետ/233242,https://www.youtube.com/embed/plzW6EQKlYQ?autoplay=1&autohide=1,Հարցազրույց Տարոն Չախոյանի հետ,22:10,"30 Ապր, 2025",plzW6EQKlYQ,43166,640,0,N/A
39,https://www.1tv.am/hy/video/Հարցազրույց-Սրբուհի-Գալյանի-հետ/233177,https://www.youtube.com/embed/hcLhnUIN7Y0?autoplay=1&autohide=1,Հարցազրույց Սրբուհի Գալյանի հետ,22:10,"29 Ապր, 2025",hcLhnUIN7Y0,23224,216,0,N/A
40,https://www.1tv.am/hy/video/Հարցազրույց-Լիլիթ-Մինասյանի-հետ/233120,https://www.youtube.com/embed/lqmSDYB-_hY?autoplay=1&autohide=1,Հարցազրույց Լիլիթ Մինասյանի հետ,22:10,"28 Ապր, 2025",lqmSDYB-_hY,26974,344,0,N/A
41,https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Մովսեսի-հետ/233051,https://www.youtube.com/embed/62_pUJLnvlo?autoplay=1&autohide=1,Հարցազրույց Հակոբ Մովսեսի հետ,22:10,"25 Ապր, 2025",62_pUJLnvlo,28124,548,0,N/A
42,https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Սաֆրաստյանի-հետ/232999,https://www.youtube.com/embed/tbQATYApYSI?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Սաֆրաստյանի հետ,22:10,"24 Ապր, 2025",tbQATYApYSI,21643,239,0,N/A
43,https://www.1tv.am/hy/video/Հարցազրույց-Արծվիկ-Մինասյանի-հետ/232980,https://www.youtube.com/embed/kJLWgZQ-myI?autoplay=1&autohide=1,Հարցազրույց Արծվիկ Մինասյանի հետ,22:10,"23 Ապր, 2025",kJLWgZQ-myI,82240,547,0,N/A
44,https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Հակոբյանի-հետ/232933,https://www.youtube.com/embed/330z2yi8DG0?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Հակոբյանի հետ,22:10,"22 Ապր, 2025",330z2yi8DG0,10713,69,0,N/A
45,https://www.1tv.am/hy/video/Հարցազրույց-Արփինե-Սարգսյանի-հետ/232895,https://www.youtube.com/embed/yGrd3FBdix8?autoplay=1&autohide=1,Հարցազրույց Արփինե Սարգսյանի հետ,22:10,"21 Ապր, 2025",yGrd3FBdix8,32613,314,0,N/A
46,https://www.1tv.am/hy/video/Հարցազրույց-Հարություն-Մկրտչյանի-հետ/232743,https://www.youtube.com/embed/11H4Oqi5jXU?autoplay=1&autohide=1,Հարցազրույց Հարություն Մկրտչյանի հետ,22:10,"16 Ապր, 2025",11H4Oqi5jXU,56385,962,0,N/A
47,https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/232723,https://www.youtube.com/embed/s8z730bpo2Y?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"15 Ապր, 2025",s8z730bpo2Y,54518,534,0,N/A
48,https://www.1tv.am/hy/video/Հարցազրույց-Գեղամ-Ստեփանյանի-հետ/232706,https://www.youtube.com/embed/nCr1QheWiAQ?autoplay=1&autohide=1,Հարցազրույց Գեղամ Ստեփանյանի հետ,22:10,"14 Ապր, 2025",nCr1QheWiAQ,44339,308,0,N/A
49,https://www.1tv.am/hy/video/Հարցազրույց-Ստաս-Նամինի-հետ/232536,https://www.youtube.com/embed/joSP83VHA3I?autoplay=1&autohide=1,Հարցազրույց Ստաս Նամինի հետ,22:10,"09 Ապր, 2025",joSP83VHA3I,46011,782,0,N/A
50,https://www.1tv.am/hy/video/Հարցազրույց-Ռոդիոն-Միրոշնիկի-հետ/232513,https://www.youtube.com/embed/T4wlpkrrpTM?autoplay=1&autohide=1,Հարցազրույց Ռոդիոն Միրոշնիկի հետ,22:10,"08 Ապր, 2025",T4wlpkrrpTM,40687,481,0,N/A
